CYCLE	OPERATION	INSTRUCTION
1	FETCHED	1
1	FETCHED	2
1	FETCHED	3
1	FETCHED	4
2	DISPATCHED	1
2	DISPATCHED	2
2	DISPATCHED	3
2	DISPATCHED	4
2	FETCHED	5
2	FETCHED	6
2	FETCHED	7
2	FETCHED	8
3	SCHEDULED	1
3	SCHEDULED	2
3	SCHEDULED	3
3	SCHEDULED	4
3	DISPATCHED	5
3	DISPATCHED	6
3	DISPATCHED	7
3	DISPATCHED	8
3	FETCHED	9
3	FETCHED	10
3	FETCHED	11
3	FETCHED	12
4	EXECUTED	1
4	EXECUTED	2
4	EXECUTED	3
4	EXECUTED	4
4	SCHEDULED	5
4	SCHEDULED	6
4	SCHEDULED	7
4	SCHEDULED	8
4	DISPATCHED	9
4	DISPATCHED	10
4	DISPATCHED	11
4	DISPATCHED	12
4	FETCHED	13
4	FETCHED	14
4	FETCHED	15
4	FETCHED	16
5	STATE UPDATE	1
5	STATE UPDATE	2
5	EXECUTED	5
5	EXECUTED	8
5	SCHEDULED	9
5	SCHEDULED	10
5	SCHEDULED	11
5	SCHEDULED	12
5	DISPATCHED	13
5	DISPATCHED	14
5	DISPATCHED	15
5	DISPATCHED	16
5	FETCHED	17
5	FETCHED	18
5	FETCHED	19
5	FETCHED	20
6	STATE UPDATE	3
6	STATE UPDATE	4
6	EXECUTED	6
6	EXECUTED	7
6	EXECUTED	9
6	DISPATCHED	17
6	DISPATCHED	18
6	DISPATCHED	19
6	DISPATCHED	20
6	FETCHED	21
6	FETCHED	21
6	FETCHED	21
6	FETCHED	21
7	STATE UPDATE	5
7	STATE UPDATE	6
7	EXECUTED	10
7	EXECUTED	12
7	SCHEDULED	13
7	SCHEDULED	14
7	DISPATCHED	21
7	DISPATCHED	21
7	DISPATCHED	21
7	DISPATCHED	21
7	FETCHED	21
7	FETCHED	21
7	FETCHED	21
7	FETCHED	21
8	STATE UPDATE	7
8	STATE UPDATE	8
8	EXECUTED	13
8	EXECUTED	11
8	SCHEDULED	15
8	SCHEDULED	16
8	DISPATCHED	21
8	DISPATCHED	21
8	DISPATCHED	21
8	DISPATCHED	21
8	FETCHED	21
8	FETCHED	21
8	FETCHED	21
8	FETCHED	21
9	STATE UPDATE	9
9	STATE UPDATE	10
9	EXECUTED	14
9	SCHEDULED	17
9	SCHEDULED	18
9	DISPATCHED	21
9	DISPATCHED	21
9	DISPATCHED	21
9	DISPATCHED	21
9	FETCHED	21
9	FETCHED	21
9	FETCHED	21
9	FETCHED	21
10	STATE UPDATE	11
10	STATE UPDATE	12
10	EXECUTED	15
10	EXECUTED	18
10	SCHEDULED	19
10	SCHEDULED	20
10	DISPATCHED	21
10	DISPATCHED	21
10	DISPATCHED	21
10	DISPATCHED	21
10	FETCHED	21
10	FETCHED	21
10	FETCHED	21
10	FETCHED	21
11	STATE UPDATE	13
11	STATE UPDATE	14
11	EXECUTED	16
11	EXECUTED	17
11	EXECUTED	19
11	SCHEDULED	21
11	SCHEDULED	21
11	DISPATCHED	21
11	DISPATCHED	21
11	DISPATCHED	21
11	DISPATCHED	21
11	FETCHED	21
11	FETCHED	21
11	FETCHED	21
11	FETCHED	21
12	STATE UPDATE	15
12	STATE UPDATE	16
12	EXECUTED	20
12	EXECUTED	21
12	SCHEDULED	21
12	SCHEDULED	21
12	DISPATCHED	21
12	DISPATCHED	21
12	DISPATCHED	21
12	DISPATCHED	21
12	FETCHED	21
12	FETCHED	21
12	FETCHED	21
12	FETCHED	21
13	STATE UPDATE	17
13	STATE UPDATE	18
13	EXECUTED	21
13	SCHEDULED	21
13	SCHEDULED	21
13	DISPATCHED	21
13	DISPATCHED	21
13	DISPATCHED	21
13	DISPATCHED	21
13	FETCHED	21
13	FETCHED	21
13	FETCHED	21
13	FETCHED	21
14	STATE UPDATE	19
14	STATE UPDATE	20
14	EXECUTED	21
14	SCHEDULED	21
14	SCHEDULED	21
14	DISPATCHED	21
14	DISPATCHED	21
14	DISPATCHED	21
14	DISPATCHED	21
14	FETCHED	21
14	FETCHED	21
14	FETCHED	21
14	FETCHED	21
15	STATE UPDATE	21
15	STATE UPDATE	21
15	EXECUTED	21
15	EXECUTED	21
15	SCHEDULED	21
15	SCHEDULED	21
15	DISPATCHED	21
15	DISPATCHED	21
15	DISPATCHED	21
15	DISPATCHED	21
15	FETCHED	21
15	FETCHED	21
15	FETCHED	21
15	FETCHED	21
